"","Stars","ElapsedTime","Interest","Contributors","CommunityInterest","ExternalContributors","DeveloperExperience","OwnerEngagement","OwnerSpectrum","TotalVertices","C1C1","C1C2","C1C3","C1C4","C2C2","C2C3","C2C4","C3C3","C3C4","C4C4","RepeatInteractions","total.distinct","TotalEdges"
"Stars",1,-0.0737136254768714,0.342308079418273,0.39650667798655,0.368529592975302,0.399413808876139,0.0192167777033228,-0.0730020582552327,-0.0472975383453006,0.39650667798655,0.44181931194922,0.31108649992592,0.117521846018501,0.20315178784942,0.00241090113709699,0.0445451871854486,0.00687917521114559,-0.0112711613337494,-0.0075452838810954,-0.10763940647897,0.276952994923199,0.415852160709867,0.417201826201302
"ElapsedTime",-0.0737136254768714,1,0.00115914501722688,0.0406442584704247,-0.0184466825180734,0.0622869841320733,0.27037975722752,-0.135880343279332,-0.127348171731027,0.0406442584704247,-0.0522260478626679,-0.0420899175741005,-0.00555249406098954,0.0960499155306468,-0.00591322250041021,-0.0735182495310689,-0.0218926089285672,0.0348275501317831,0.0661541159639771,0.193556322566564,0.0646457846592444,-0.0172380764015435,-0.00399381553585199
"Interest",0.342308079418273,0.00115914501722688,1,0.889731697848008,0.953346381897565,0.87541105080171,-0.158383259719252,0.0791090131515176,0.043233387997674,0.889731697848008,0.804038868035779,0.486043424730407,0.472238736585723,0.826401547452395,0.146726414443926,0.190049572814648,0.324599309094166,0.0319698767865114,0.256270835799631,0.13237968997115,0.789104078776813,0.769117339405727,0.819988058642024
"Contributors",0.39650667798655,0.0406442584704247,0.889731697848008,1,0.91255294717506,0.995758780325483,-0.0371055504487041,-0.065864713793896,-0.0452270318784477,1,0.945412397139335,0.482988413687515,0.438100031326483,0.773432083819487,0.103834463478586,0.115234062913948,0.138660940761148,-0.00347113106168538,0.102864807202631,-0.0545779643126066,0.76956944260323,0.944938313314054,0.972508757906573
"CommunityInterest",0.368529592975302,-0.0184466825180734,0.953346381897565,0.91255294717506,1,0.91342569446329,-0.00897685966716896,-0.079083969185084,-0.0629602003775359,0.91255294717506,0.852426710640743,0.507668631822235,0.492896470544098,0.770884196171523,0.144947390548754,0.208507478327574,0.284511563855757,0.0330130408235043,0.238764221377537,-0.0238945972843876,0.784127351080997,0.812787226370427,0.857848893692003
"ExternalContributors",0.399413808876139,0.0622869841320733,0.87541105080171,0.995758780325483,0.91342569446329,1,0.0468955799081521,-0.123794464179564,-0.0838495519238519,0.995758780325483,0.944967928561936,0.481561625074944,0.438933921902547,0.759042577110094,0.101190079682341,0.114715334111176,0.130643346056674,-0.00493214158207459,0.102555977716527,-0.0791944149609812,0.763132148282465,0.943808741987668,0.970382276562277
"DeveloperExperience",0.0192167777033228,0.27037975722752,-0.158383259719252,-0.0371055504487041,-0.00897685966716896,0.0468955799081521,1,-0.616166829964892,-0.411809594335943,-0.0371055504487041,-0.0122183080968887,-0.0217057489391841,-0.0287844588934665,-0.14544578751192,-0.0225393657008528,-0.0494282745651782,-0.0976042575819803,-0.0504943072786744,-0.0266262003536701,-0.246154166114604,-0.0841536020577318,-0.00882349992889787,-0.0225281679227879
"OwnerEngagement",-0.0730020582552327,-0.135880343279332,0.0791090131515176,-0.065864713793896,-0.079083969185084,-0.123794464179564,-0.616166829964892,1,0.840521166150417,-0.065864713793896,-0.0763425287471981,-0.0277540575378859,-0.00376422518641446,0.0674447056322426,0.0151270576882652,0.0134147078551014,0.0308541017225216,0.00711616822123535,0.0164281869931021,0.206636187717356,-0.032702217076854,-0.0797577553960707,-0.0764497515780415
"OwnerSpectrum",-0.0472975383453006,-0.127348171731027,0.043233387997674,-0.0452270318784477,-0.0629602003775359,-0.0838495519238519,-0.411809594335943,0.840521166150417,1,-0.0452270318784477,-0.0503025332721701,-0.0342979828292969,0.00811958058260664,0.0458225677200584,0.0171866218821107,0.0197840716217297,0.0107632712455054,0.000121634601595701,0.0147507842360046,0.0827180807289498,-0.0441313255232316,-0.0496852656499472,-0.0517756085348667
"TotalVertices",0.39650667798655,0.0406442584704247,0.889731697848008,1,0.91255294717506,0.995758780325483,-0.0371055504487041,-0.065864713793896,-0.0452270318784477,1,0.945412397139335,0.482988413687515,0.438100031326483,0.773432083819487,0.103834463478586,0.115234062913948,0.138660940761148,-0.00347113106168538,0.102864807202631,-0.0545779643126066,0.76956944260323,0.944938313314054,0.972508757906573
"C1C1",0.44181931194922,-0.0522260478626679,0.804038868035779,0.945412397139335,0.852426710640743,0.944967928561936,-0.0122183080968887,-0.0763425287471981,-0.0503025332721701,0.945412397139335,1,0.433143605177121,0.350279418488032,0.62095410211376,0.0758646195262838,0.0949723175013038,0.0382851571871487,-0.0107409807043746,-0.00575211531385723,-0.180802508759846,0.695526195334726,0.969046228577776,0.980953500167697
"C1C2",0.31108649992592,-0.0420899175741005,0.486043424730407,0.482988413687515,0.507668631822235,0.481561625074944,-0.0217057489391841,-0.0277540575378859,-0.0342979828292969,0.482988413687515,0.433143605177121,1,0.439404045950272,0.302735465958218,0.383614686719216,0.261443622459703,0.318652776865829,0.0217201356604209,0.0796830446414862,-0.0718677849932134,0.420814763670089,0.441359034052074,0.464958067092465
"C1C3",0.117521846018501,-0.00555249406098954,0.472238736585723,0.438100031326483,0.492896470544098,0.438933921902547,-0.0287844588934665,-0.00376422518641446,0.00811958058260664,0.438100031326483,0.350279418488032,0.439404045950272,1,0.337196574063809,0.0675133912869916,0.413969071987125,0.203102780864519,0.155214193445391,0.365050290935848,-0.054973117839892,0.417835088510844,0.352919113429072,0.386001106797675
"C1C4",0.20315178784942,0.0960499155306468,0.826401547452395,0.773432083819487,0.770884196171523,0.759042577110094,-0.14544578751192,0.0674447056322426,0.0458225677200584,0.773432083819487,0.62095410211376,0.302735465958218,0.337196574063809,1,0.0720571531269549,0.0594721487275569,0.29662388802914,-0.0228607541992932,0.195324188671537,0.170210382627664,0.787480113685981,0.62232059360537,0.689511944766731
"C2C2",0.00241090113709699,-0.00591322250041021,0.146726414443926,0.103834463478586,0.144947390548754,0.101190079682341,-0.0225393657008528,0.0151270576882652,0.0171866218821107,0.103834463478586,0.0758646195262838,0.383614686719216,0.0675133912869916,0.0720571531269549,1,0.0501646226743455,0.278775210641931,-0.0055719830855999,0.113270956856098,0.0214081288145434,0.0863897684392389,0.0859135308557114,0.0912891379710352
"C2C3",0.0445451871854486,-0.0735182495310689,0.190049572814648,0.115234062913948,0.208507478327574,0.114715334111176,-0.0494282745651782,0.0134147078551014,0.0197840716217297,0.115234062913948,0.0949723175013038,0.261443622459703,0.413969071987125,0.0594721487275569,0.0501646226743455,1,0.194114309449636,0.247673130742373,0.200764738728386,-0.034307874170135,0.136358118040728,0.064481251550378,0.0810111963208894
"C2C4",0.00687917521114559,-0.0218926089285672,0.324599309094166,0.138660940761148,0.284511563855757,0.130643346056674,-0.0976042575819803,0.0308541017225216,0.0107632712455054,0.138660940761148,0.0382851571871487,0.318652776865829,0.203102780864519,0.29662388802914,0.278775210641931,0.194114309449636,1,0.0453212279933331,0.410198936745095,0.17544716941265,0.237843934716293,0.0362906959603898,0.0737401721594814
"C3C3",-0.0112711613337494,0.0348275501317831,0.0319698767865114,-0.00347113106168538,0.0330130408235043,-0.00493214158207459,-0.0504943072786744,0.00711616822123535,0.000121634601595701,-0.00347113106168538,-0.0107409807043746,0.0217201356604209,0.155214193445391,-0.0228607541992932,-0.0055719830855999,0.247673130742373,0.0453212279933331,1,0.22325320909772,0.00941069605001678,0.0393999100021303,-0.0262326577764557,-0.0163817842928925
"C3C4",-0.0075452838810954,0.0661541159639771,0.256270835799631,0.102864807202631,0.238764221377537,0.102555977716527,-0.0266262003536701,0.0164281869931021,0.0147507842360046,0.102864807202631,-0.00575211531385723,0.0796830446414862,0.365050290935848,0.195324188671537,0.113270956856098,0.200764738728386,0.410198936745095,0.22325320909772,1,0.245026613488106,0.174089742697399,0.01235469190218,0.0413729303630959
"C4C4",-0.10763940647897,0.193556322566564,0.13237968997115,-0.0545779643126066,-0.0238945972843876,-0.0791944149609812,-0.246154166114604,0.206636187717356,0.0827180807289498,-0.0545779643126066,-0.180802508759846,-0.0718677849932134,-0.054973117839892,0.170210382627664,0.0214081288145434,-0.034307874170135,0.17544716941265,0.00941069605001678,0.245026613488106,1,0.100450968852814,-0.150684632380666,-0.116090447332451
"RepeatInteractions",0.276952994923199,0.0646457846592444,0.789104078776813,0.76956944260323,0.784127351080997,0.763132148282465,-0.0841536020577318,-0.032702217076854,-0.0441313255232316,0.76956944260323,0.695526195334726,0.420814763670089,0.417835088510844,0.787480113685981,0.0863897684392389,0.136358118040728,0.237843934716293,0.0393999100021303,0.174089742697399,0.100450968852814,1,0.590199652203315,0.69815417003731
"total.distinct",0.415852160709867,-0.0172380764015435,0.769117339405727,0.944938313314054,0.812787226370427,0.943808741987668,-0.00882349992889787,-0.0797577553960707,-0.0496852656499472,0.944938313314054,0.969046228577776,0.441359034052074,0.352919113429072,0.62232059360537,0.0859135308557114,0.064481251550378,0.0362906959603898,-0.0262326577764557,0.01235469190218,-0.150684632380666,0.590199652203315,1,0.990004165670017
"TotalEdges",0.417201826201302,-0.00399381553585199,0.819988058642024,0.972508757906573,0.857848893692003,0.970382276562277,-0.0225281679227879,-0.0764497515780415,-0.0517756085348667,0.972508757906573,0.980953500167697,0.464958067092465,0.386001106797675,0.689511944766731,0.0912891379710352,0.0810111963208894,0.0737401721594814,-0.0163817842928925,0.0413729303630959,-0.116090447332451,0.69815417003731,0.990004165670017,1
